Significant,pvalue,Difference,Protein IDs,Majority protein IDs,uniprot,Symbol color,Symbol type,Symbol size,Show label,GOBP name,GOMF name,GOCC name,Taxonomy,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS Count,oxidized 48h a LFQ,oxidized 72h a LFQ,oxidized 48h b LFQ,oxidized 72h b LFQ,oxidized 48h c LFQ,oxidized 72h c LFQ,reduced 48h a LFQ,reduced 72h a LFQ,reduced 48h b LFQ,reduced 72h b2 LFQ,reduced 48h c LFQ,reduced 72h c LFQ
,1.003528313,1.03974242,sp|P05374|CHO2_YEAST,sp|P05374|CHO2_YEAST,P05374,Color [DarkGray],1,4,,"catalytic activity;methyltransferase activity;N-methyltransferase activity;phosphatidylethanolamine N-methyltransferase activity;S-adenosylmethionine-dependent methyltransferase activity;transferase activity;transferase activity, transferring one-carbon groups",cell part;integral to membrane;intrinsic to membrane;membrane part,alcohol metabolic process;amine metabolic process;biosynthetic process;cellular lipid metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;lipid metabolic process;metabolic process;nitrogen compound metabolic process;primary metabolic process;small molecule metabolic process,CHO2_YEAST,20,20,20,29.5,29.5,29.5,101.2,0,89.382,692410000,92,-0.685697,-0.5924237,-0.8175818,-1.135371,-0.2465552,-0.4751756,-1.059564,-0.8918236,-1.720267,-2.246264,-1.778709,-2.18411
,1.111395316,0.332482437,sp|P05739|RL6B_YEAST,sp|P05739|RL6B_YEAST,P05739,Color [DarkGray],1,4,,binding;nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biosynthetic process;cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular metabolic process;cellular process;cytoplasmic translation;macromolecular complex assembly;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;ribonucleoprotein complex assembly;translation,RL6B_YEAST,20,20,12,66.5,66.5,38.6,19.986,0,122.82,20163000000,559,1.286091,0.9995553,1.328716,1.348636,1.280478,1.417394,0.7984785,1.032852,1.004597,0.8587739,0.7341236,0.8765123
,0.685581468,0.536249528,sp|P16550|APA1_YEAST,sp|P16550|APA1_YEAST,P16550,Color [DarkGray],1,4,,"adenyl nucleotide binding;adenyl ribonucleotide binding;adenylyltransferase activity;ATP adenylyltransferase activity;ATP binding;binding;bis(5'-nucleosyl)-tetraphosphatase activity;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleotide binding;nucleotide diphosphatase activity;nucleotidyltransferase activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding;sulfate adenylyltransferase (ADP) activity;sulfate adenylyltransferase activity;transferase activity;transferase activity, transferring phosphorus-containing groups",,biosynthetic process;catabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound catabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleoside metabolic process;nucleotide metabolic process;primary metabolic process;small molecule metabolic process,APA1_YEAST,20,20,20,83.5,83.5,83.5,36.492,0,260.52,4070900000,159,-0.9384001,-0.7052233,-0.9159942,-0.2773047,-0.9190023,-0.8277404,-0.1768252,-0.6289713,-1.202505,-1.712329,-0.5478885,-1.077717
,0.086578564,-0.051795642,sp|P22943|HSP12_YEAST,sp|P22943|HSP12_YEAST,P22943,Color [DarkGray],1,4,,binding;lipid binding,cell part;cytoplasmic part;cytosol;endosome;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane;membrane-bounded organelle;organelle;plasma membrane,biological adhesion;cell adhesion;cellular component organization;cellular membrane organization;cellular process;membrane organization;plasma membrane organization;response to abiotic stimulus;response to chemical stimulus;response to heat;response to osmotic stress;response to oxidative stress;response to stimulus;response to stress,HSP12_YEAST,20,20,20,99.1,99.1,99.1,11.693,0,323.31,60146000000,1161,2.467902,1.823217,1.99722,2.474216,2.375241,2.416383,2.056547,2.251163,2.245832,2.374403,2.122975,2.243636
,0.376209939,-0.166590845,sp|P25343|RV161_YEAST,sp|P25343|RV161_YEAST,P25343,Color [DarkGray],1,4,,binding;cytoskeletal protein binding;protein binding,actin cortical patch;cell cortex part;cell part;cell projection;cytoplasmic part;cytoskeletal part;intracellular organelle part;intracellular part;mating projection;membrane part;membrane raft;organelle part,cellular component assembly;cellular component organization;cellular localization;cellular macromolecular complex assembly;cellular membrane organization;cellular process;conjugation;conjugation with cellular fusion;cytoskeleton organization;endocytosis;establishment of localization;localization;macromolecular complex assembly;membrane invagination;membrane organization;multi-organism process;organelle organization;reproduction;response to abiotic stimulus;response to external stimulus;response to extracellular stimulus;response to osmotic stress;response to starvation;response to stimulus;response to stress;transport;vesicle-mediated transport,RV161_YEAST,20,20,20,77.7,77.7,77.7,30.25,0,317.41,3111000000,171,-1.077656,-0.7464011,-0.5531729,-0.5240123,-0.5951542,-0.1466313,-0.4829176,-0.3877405,0.09561354,-0.3456925,-0.4372618,-0.1838393
,0.875694194,0.567863077,sp|P25443|RS2_YEAST,sp|P25443|RS2_YEAST,P25443,Color [DarkGray],1,4,,binding;nucleic acid binding;RNA binding;rRNA binding;SSU rRNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytosolic small ribosomal subunit;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part;preribosome;ribonucleoprotein complex;small ribosomal subunit;small-subunit processome,biological regulation;biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;establishment of localization;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nuclear transport;nucleobase-containing compound metabolic process;nucleobase-containing compound transport;nucleocytoplasmic transport;primary metabolic process;protein metabolic process;regulation of translation;RNA metabolic process;RNA processing;rRNA processing;translation;transport,RS2_YEAST,20,20,20,78.7,78.7,78.7,27.449,0,323.31,14235000000,409,0.9749645,0.5015715,1.39276,1.000079,0.7820404,0.9201124,0.1643398,0.5239161,0.295154,-0.2784331,0.2387425,0.4726911
,1.313225844,0.343310932,sp|P26786|RS7A_YEAST,sp|P26786|RS7A_YEAST,P26786,Color [DarkGray],1,4,,structural constituent of ribosome;structural molecule activity,cell part;cytosolic small ribosomal subunit;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part;preribosome;ribonucleoprotein complex;small ribosomal subunit;small-subunit processome,biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;protein metabolic process;ribosome biogenesis;RNA metabolic process;RNA processing;rRNA processing;translation,RS7A_YEAST,20,20,10,69.5,69.5,43.7,21.622,0,313.8,15492000000,392,1.171472,0.9157138,0.7735097,1.315982,1.176352,1.165125,0.7261524,0.8245621,0.7170827,0.7149498,0.7173535,0.827376
,0.2850237,-0.06334122,sp|P28834|IDH1_YEAST,sp|P28834|IDH1_YEAST,P28834,Color [DarkGray],1,4,,"binding;catalytic activity;cation binding;coenzyme binding;cofactor binding;ion binding;isocitrate dehydrogenase (NAD+) activity;isocitrate dehydrogenase activity;magnesium ion binding;metal ion binding;NAD binding;nucleic acid binding;nucleotide binding;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;RNA binding",cell part;cytoplasmic part;cytosol;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;isocitrate dehydrogenase complex (NAD+);macromolecular complex;membrane-enclosed lumen;mitochondrial intermembrane space;mitochondrial isocitrate dehydrogenase complex (NAD+);mitochondrial matrix;mitochondrial nucleoid;mitochondrial part;mitochondrial tricarboxylic acid cycle enzyme complex;non-membrane-bounded organelle;nucleoid;organelle;organelle envelope lumen;organelle lumen;organelle part;protein complex;tricarboxylic acid cycle enzyme complex,amine metabolic process;biosynthetic process;catabolic process;cellular amino acid metabolic process;cellular ketone metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cofactor metabolic process;metabolic process;nitrogen compound metabolic process;organic acid metabolic process;primary metabolic process;small molecule metabolic process,IDH1_YEAST,20,20,20,51.7,51.7,51.7,39.324,0,314.29,12776000000,431,1.192914,1.229966,0.69564,0.9887358,1.056941,1.139345,0.8794625,1.220762,0.9848836,1.254034,0.9354506,1.073274
,0.59826877,-0.47237416,sp|P32381|ARP2_YEAST,sp|P32381|ARP2_YEAST,P32381,Color [DarkGray],1,4,,"adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;ATPase activity;binding;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding",actin cortical patch;Arp2/3 protein complex;cell cortex part;cell part;cytoplasmic part;cytoskeletal part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;mitochondrion;organelle;organelle part;protein complex,anatomical structure formation involved in morphogenesis;biological regulation;cell wall organization;cell wall organization or biogenesis;cellular cell wall organization;cellular cell wall organization or biogenesis;cellular component assembly;cellular component organization;cellular localization;cellular process;cytoskeleton organization;developmental process;establishment of localization;external encapsulating structure organization;localization;metabolic process;mitochondrion organization;organelle inheritance;organelle localization;organelle organization;protein targeting;protein transport;regulation of organelle organization;transport;vacuolar transport,ARP2_YEAST,20,20,20,58.3,58.3,58.3,44.073,0,321.59,3696800000,256,0.02764405,-0.1134637,0.0133238,-1.16194,0.01672764,-0.2385526,0.04902134,-0.008202706,0.07264125,0.1704204,-0.2224614,-0.2590512
,0.465948717,0.129230738,sp|P32473|ODPB_YEAST,sp|P32473|ODPB_YEAST,P32473,Color [DarkGray],1,4,,"catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor;pyruvate dehydrogenase (acetyl-transferring) activity;pyruvate dehydrogenase activity",cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;mitochondrial nucleoid;mitochondrial part;mitochondrial pyruvate dehydrogenase complex;mitochondrion;non-membrane-bounded organelle;nucleoid;organelle;organelle part;protein complex;pyruvate dehydrogenase complex,alcohol metabolic process;biosynthetic process;carbohydrate metabolic process;catabolic process;cellular ketone metabolic process;cellular metabolic process;cellular process;cofactor metabolic process;generation of precursor metabolites and energy;metabolic process;organic acid metabolic process;primary metabolic process;small molecule metabolic process,ODPB_YEAST,20,20,20,74.6,74.6,74.6,40.053,0,323.31,12601000000,341,1.303851,1.068447,1.110405,1.197028,1.186808,1.20217,0.8823578,0.8763102,0.8386444,0.9586942,0.8282878,1.244948
,0.093106521,0.045963233,sp|P33330|SERC_YEAST,sp|P33330|SERC_YEAST,P33330,Color [DarkGray],1,4,,"binding;catalytic activity;cofactor binding;O-phospho-L-serine:2-oxoglutarate aminotransferase activity;pyridoxal phosphate binding;transaminase activity;transferase activity;transferase activity, transferring nitrogenous groups;vitamin B6 binding;vitamin binding",,amine metabolic process;biosynthetic process;cellular amino acid metabolic process;cellular aromatic compound metabolic process;cellular ketone metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;organic acid metabolic process;pigment metabolic process;primary metabolic process;small molecule metabolic process,SERC_YEAST,20,20,20,60.3,60.3,60.3,43.415,0,323.31,5294700000,278,0.5018431,0.4636098,0.0671165,0.4831544,-0.6380641,0.4420161,0.4049962,0.1736387,0.2662889,0.3189287,0.4128498,0.7583232
,0.386426866,0.302171648,sp|P33755|NPL4_YEAST,sp|P33755|NPL4_YEAST,P33755,Color [DarkGray],1,4,,,Cdc48p-Npl4p-Ufd1p AAA ATPase complex;cell part;cytoplasmic part;cytoplasmic ubiquitin ligase complex;Doa10p ubiquitin ligase complex;endoplasmic reticulum part;ER ubiquitin ligase complex;Hrd1p ubiquitin ligase complex;Hrd1p ubiquitin ligase ERAD-L complex;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;nuclear membrane;nuclear outer membrane-endoplasmic reticulum membrane network;nuclear part;organelle membrane;organelle part;perinuclear region of cytoplasm;protein complex;ubiquitin ligase complex,catabolic process;cellular component disassembly;cellular component organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cytoskeleton organization;establishment of localization;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;nucleobase-containing compound transport;organelle organization;primary metabolic process;protein metabolic process;protein transport;proteolysis;proteolysis involved in cellular protein catabolic process;response to chemical stimulus;response to stimulus;response to stress;RNA catabolic process;RNA metabolic process;transport,NPL4_YEAST,20,20,20,46,46,46,65.781,0,146.44,1780100000,78,-0.9614028,-0.5688478,-0.6701515,-0.9634328,-0.1325472,-0.9129691,-1.609597,-1.608074,-0.7596169,-0.5579432,-0.5394436,-1.185747
,0.439327042,-0.104738335,sp|P34223|UBX1_YEAST,sp|P34223|UBX1_YEAST,P34223,Color [DarkGray],1,4,,enzyme regulator activity;phosphatase regulator activity;protein phosphatase regulator activity;protein phosphatase type 1 regulator activity,cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle,anatomical structure development;anatomical structure formation involved in morphogenesis;ascospore formation;autophagy;biological regulation;carbohydrate metabolic process;catabolic process;cell development;cell differentiation;cellular component assembly;cellular component organization;cellular membrane organization;cellular metabolic process;cellular process;cytoskeleton organization;developmental process;energy reserve metabolic process;generation of precursor metabolites and energy;macromolecule metabolic process;membrane invagination;membrane organization;metabolic process;organelle assembly;organelle organization;polysaccharide metabolic process;primary metabolic process;protein metabolic process;proteolysis;proteolysis involved in cellular protein catabolic process;reproduction;sporulation;vacuole organization,UBX1_YEAST,20,20,20,56.7,56.7,56.7,46.987,0,323.31,1853300000,131,-0.5242582,-0.5879635,-0.4353001,-0.7886984,-1.093266,-0.5881718,-0.5796908,-0.3963028,-0.4471515,-0.6133058,-0.7369646,-0.6410101
,0.402608121,0.124551614,sp|P34760|TSA1_YEAST,sp|P34760|TSA1_YEAST,P34760,Color [DarkGray],1,4,,"antioxidant activity;binding;catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on peroxide as acceptor;peroxidase activity;peroxiredoxin activity;protein binding;ribonucleoprotein binding;ribosome binding;thioredoxin peroxidase activity;unfolded protein binding",cell part;cytoplasm;cytoplasmic part;cytosol;intracellular part;macromolecular complex;polysome;ribonucleoprotein complex,aging;biological regulation;cell communication;cellular homeostasis;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;developmental process;DNA metabolic process;homeostatic process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;protein folding;protein metabolic process;regulation of cell cycle;response to chemical stimulus;response to DNA damage stimulus;response to external stimulus;response to extracellular stimulus;response to oxidative stress;response to stimulus;response to stress,TSA1_YEAST,20,20,19,94.4,94.4,90.3,21.589,0,323.31,1.0292E+11,1062,2.677236,2.35357,2.781249,2.66274,2.694902,2.651757,2.581934,2.267697,2.372133,2.488134,2.450858,2.538581
,0.457817694,-0.091263826,sp|P38071|ETR1_YEAST,sp|P38071|ETR1_YEAST,P38071,Color [DarkGray],1,4,,"binding;catalytic activity;cation binding;DNA binding;enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity;enoyl-[acyl-carrier-protein] reductase activity;fatty acid synthase activity;ion binding;metal ion binding;nucleic acid binding;oxidoreductase activity;oxidoreductase activity, acting on the CH-CH group of donors;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;trans-2-enoyl-CoA reductase (NADPH) activity;transferase activity;transferase activity, transferring acyl groups;transferase activity, transferring acyl groups other than amino-acyl groups;transition metal ion binding;zinc ion binding",cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane-bounded organelle;membrane-enclosed lumen;mitochondrial matrix;mitochondrial part;mitochondrion;organelle;organelle lumen;organelle part,biosynthetic process;cellular ketone metabolic process;cellular lipid metabolic process;cellular metabolic process;cellular process;cellular respiration;generation of precursor metabolites and energy;lipid metabolic process;metabolic process;organic acid metabolic process;primary metabolic process;small molecule metabolic process,ETR1_YEAST,20,20,20,64.5,64.5,64.5,42.066,0,323.31,6476900000,265,0.4735238,0.2272064,0.3349149,0.4716887,0.4225075,0.2326159,0.2794999,0.4382317,0.4817798,0.4248215,0.3321689,0.3422492
,0.688327777,-0.343847697,sp|P38137|FAT2_YEAST,sp|P38137|FAT2_YEAST,P38137,Color [DarkGray],1,4,,"acid-thiol ligase activity;binding;catalytic activity;identical protein binding;ligase activity;ligase activity, forming carbon-sulfur bonds;mRNA binding;nucleic acid binding;oxalate-CoA ligase activity;protein binding;RNA binding",cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;membrane-enclosed lumen;microbody;microbody lumen;microbody membrane;microbody part;organelle;organelle lumen;organelle membrane;organelle part;peroxisomal matrix;peroxisomal membrane;peroxisomal part,catabolic process;cellular ketone metabolic process;cellular metabolic process;cellular process;metabolic process;organic acid metabolic process;small molecule metabolic process,FAT2_YEAST,20,20,20,41.4,41.4,41.4,60.488,0,217.37,2001000000,106,-0.789695,-1.021042,-0.6203327,-0.4128961,-0.8737157,-0.6312076,-0.3947112,-0.138415,-0.209177,-0.2794269,-0.2994147,-0.6157602
,0.243443546,0.208933443,sp|P40217|EIF3I_YEAST,sp|P40217|EIF3I_YEAST,P40217,Color [DarkGray],1,4,,"binding;nucleic acid binding;RNA binding;translation factor activity, nucleic acid binding;translation initiation factor activity",cell part;cytoplasmic part;eukaryotic 43S preinitiation complex;eukaryotic 48S preinitiation complex;eukaryotic translation initiation factor 3 complex;intracellular part;macromolecular complex;multi-eIF complex;protein complex;ribonucleoprotein complex;translation preinitiation complex,biological regulation;cellular component assembly;cellular component organization;cellular macromolecular complex assembly;cellular process;macromolecular complex assembly;regulation of translation;ribonucleoprotein complex assembly;translational initiation,EIF3I_YEAST,20,20,20,69.7,69.7,69.7,38.755,0,317.25,2534700000,159,-0.9555181,-0.5631499,-0.6109919,-0.7213294,-0.2419476,-0.4436672,-0.6046866,-0.5349534,-0.5887339,-0.3825205,-0.5081302,-1.437473
,0.088632416,-0.037061671,sp|P53303|ZPR1_YEAST,sp|P53303|ZPR1_YEAST,P53303,Color [DarkGray],1,4,,binding;cation binding;ion binding;metal ion binding;transition metal ion binding;zinc ion binding,cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle,biological regulation;cell communication;cellular process;regulation of cell cycle;regulation of mitotic cell cycle;response to chemical stimulus;response to external stimulus;response to extracellular stimulus;response to starvation;response to stimulus;response to stress,ZPR1_YEAST,20,20,20,64.6,64.6,64.6,55.071,0,323.31,1340400000,124,-0.6807206,-1.040663,-0.9440328,-0.7160784,-0.7648494,-0.6553776,-0.701133,-0.703817,-1.06553,-0.9413393,-1.027934,-0.6557778
,0.06414742,-0.033702582,sp|Q01852|TIM44_YEAST,sp|Q01852|TIM44_YEAST,Q01852,Color [DarkGray],1,4,,"active transmembrane transporter activity;adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;binding, bridging;chaperone binding;macromolecule transmembrane transporter activity;nucleotide binding;P-P-bond-hydrolysis-driven protein transmembrane transporter activity;P-P-bond-hydrolysis-driven transmembrane transporter activity;primary active transmembrane transporter activity;protein binding;protein binding, bridging;protein transmembrane transporter activity;protein transporter activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity",cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;mitochondrial inner membrane;mitochondrial membrane;mitochondrial membrane part;mitochondrial part;organelle inner membrane;organelle membrane;organelle part;presequence translocase-associated import motor;protein complex,cellular process;establishment of localization;protein targeting;protein transport;transmembrane transport;transport,TIM44_YEAST,20,20,20,53.6,53.6,53.6,48.854,0,202.59,1744400000,167,-0.9457157,-0.7912488,-1.132227,-0.7571239,-0.3771966,-0.2339306,-0.8933341,-0.5136904,-0.7890491,-0.5518848,-0.5386005,-0.6156204
,0.103350084,0.034649352,sp|Q04432|HSP31_YEAST,sp|Q04432|HSP31_YEAST,Q04432,Color [DarkGray],1,4,,catalytic activity;glyoxalase III activity,cell part;cytoplasmic mRNA processing body;cytoplasmic part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;macromolecular complex;non-membrane-bounded organelle;organelle;ribonucleoprotein complex;RNA granule;stress granule,biosynthetic process;catabolic process;cell communication;cellular aldehyde metabolic process;cellular ketone metabolic process;cellular metabolic process;cellular process;metabolic process;organic acid metabolic process;response to chemical stimulus;response to external stimulus;response to extracellular stimulus;response to oxidative stress;response to stimulus;response to stress;small molecule metabolic process,HSP31_YEAST,20,20,20,92,92,92,25.67,0,323.31,12044000000,372,0.9987509,0.9720696,0.7330737,0.790715,0.7781194,1.089486,0.8454584,0.7673659,0.8481374,0.9240185,0.8734095,1.056938
,0.493227437,0.340429862,sp|Q12028|AP1G1_YEAST,sp|Q12028|AP1G1_YEAST,Q12028,Color [DarkGray],1,4,,binding;clathrin binding;protein binding;protein transporter activity;substrate-specific transporter activity;transporter activity,AP-1 adaptor complex;AP-type membrane coat adaptor complex;cell part;clathrin adaptor complex;cytoplasmic part;cytoplasmic vesicle part;Golgi apparatus part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;organelle part;protein complex,cellular process;establishment of localization;Golgi vesicle transport;protein transport;transport;vacuolar transport;vesicle-mediated transport,AP1G1_YEAST,20,20,20,33.4,33.4,33.4,93.623,0,130.32,561290000,68,-0.9958369,-0.8073791,-0.889692,-0.5801448,-0.703729,-1.496193,-1.305856,-1.544231,-0.86752,-1.174103,-1.136484,-1.186672
,0.187674911,-0.072214484,sp|Q12074|SPEE_YEAST,sp|Q12074|SPEE_YEAST,Q12074,Color [DarkGray],1,4,,"catalytic activity;spermidine synthase activity;transferase activity;transferase activity, transferring alkyl or aryl (other than methyl) groups",,amine metabolic process;biosynthetic process;cellular amino acid metabolic process;cellular ketone metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cofactor metabolic process;metabolic process;nitrogen compound metabolic process;organic acid metabolic process;primary metabolic process;small molecule metabolic process;vitamin metabolic process,SPEE_YEAST,20,20,20,88.1,88.1,88.1,33.324,0,323.31,8757400000,254,0.815042,0.7907981,0.7531192,0.8266452,0.8965117,0.810508,0.7838844,0.6456235,0.6494433,0.848416,0.7651644,1.150555
,0.475422249,-0.240142196,sp|P10080|SSBP1_YEAST,sp|P10080|SSBP1_YEAST,P10080,Color [DarkGray],1,4,,binding;eukaryotic initiation factor 4G binding;mRNA binding;nucleic acid binding;nucleotide binding;protein binding;RNA binding;translation initiation factor binding,cell part;cytoplasm;cytoplasmic mRNA processing body;cytoplasmic part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part;ribonucleoprotein complex;RNA granule;stress granule,biological regulation;cellular process;regulation of translation;response to stimulus;response to stress,SSBP1_YEAST,21,21,21,72.4,72.4,72.4,32.989,0,323.31,9983900000,449,0.9812358,0.7887832,0.678942,0.8040391,1.138153,0.1700364,0.9164047,0.7200117,0.6565333,0.9485667,0.837215,0.8147069
,1.138356467,0.126781623,sp|P10664|RL4A_YEAST,sp|P10664|RL4A_YEAST,P10664,Color [DarkGray],1,4,,binding;nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity,cell part;cytosolic large ribosomal subunit;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;organelle part;ribonucleoprotein complex,biosynthetic process;cellular metabolic process;cellular process;cytoplasmic translation;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,RL4A_YEAST,21,21,2,60.2,60.2,4.4,39.092,0,323.31,33779000000,652,1.622183,1.870867,1.779648,1.722812,1.891577,1.812596,1.573218,1.670696,1.739948,1.626127,1.805133,1.729107
,0.567815144,0.362736901,sp|P12904|AAKG_YEAST,sp|P12904|AAKG_YEAST,P12904,Color [DarkGray],1,4,,adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;enzyme activator activity;enzyme regulator activity;kinase activator activity;kinase regulator activity;nucleotide binding;protein kinase activator activity;protein kinase regulator activity;protein serine/threonine kinase activator activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding,AMP-activated protein kinase complex;cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;membrane-enclosed lumen;nuclear envelope lumen;nuclear part;nucleus;organelle;organelle envelope lumen;organelle part;plasma membrane;protein complex,aging;biological regulation;biosynthetic process;carbohydrate metabolic process;cellular component organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;developmental process;macromolecule metabolic process;macromolecule modification;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peroxisome organization;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of protein modification process;RNA metabolic process,AAKG_YEAST,21,21,21,77.6,77.6,77.6,36.401,0,175.15,1031500000,69,-0.9730148,-0.9993886,-0.8111891,-0.5991983,-0.4517304,-0.7583646,-0.7813306,-1.647154,-0.9530596,-0.7778834,-1.138906,-1.020125
,0.387098288,0.296965239,sp|P16451|ODPX_YEAST,sp|P16451|ODPX_YEAST,P16451,Color [DarkGray],1,4,,"catalytic activity;structural molecule activity;transferase activity;transferase activity, transferring acyl groups",cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;mitochondrial part;mitochondrial pyruvate dehydrogenase complex;organelle part;protein complex;pyruvate dehydrogenase complex,biosynthetic process;cellular ketone metabolic process;cellular metabolic process;cellular process;cofactor metabolic process;metabolic process;organic acid metabolic process;small molecule metabolic process,ODPX_YEAST,21,21,21,66.3,66.3,66.3,45.361,0,323.31,1563400000,122,-1.125808,-0.121426,-0.9902187,-1.030875,-0.8088217,-0.3695759,-0.4784403,-0.9843239,-0.4011805,-0.4535334,-0.5918107,-0.974915
